response,set,sheet
A gloryhole with a serrated edge.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
A little person dressed as a baby punching an actual baby.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
A magic card worth roughly $8.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
A necrophiliamancer.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
A pint of beer half-full of dead snails.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
A real job with real responsibilities.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
A Stark family where all of the children survive.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
A tin of worms in metric or imperial.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Adrian Talens.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
ADVENTURE!,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
All the Asians in Vancouver.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
An idiot from New Jersey who can only make friends with Bay Area scum.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Assault Android Cactus.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Awkwardly having to sing Happy Birthday to a stranger.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Being named Gladys.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Bitcoin.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Bruce using the handicapped elevator even though he's a totally able-bodied person.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Butthurt.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Chit.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Chris Evans grabbing his left boob while laughing.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Classy Ewok porn.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Cortana.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Crippling OC D.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Danny got to 2nd base with his grandma.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Doing a barrel roll.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Drinking with the DCD.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Drymount.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Dying for the 418th time in Dark Souls.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Eating an entire pizza as a legit medical condition.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Elli the shit-head cat.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Exploding pancakes.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
F5.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Fat bitch logic.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Filming Tabletop Deathmatch.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Five teenagers with attitude.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Flipper.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Fully appreciating naked Morris dancing.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Furry porn that's actually sort of hot.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Go Fuck Yourself.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Going back in time and fucking my mom to prove a point.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Grandpa Dick Chin.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Having nothing to prove.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
"Hiro, the dog.",PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Hitler's gas bill.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
I am only using this card because i don't have any other cards to play.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Jacking off with sandpaper.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Jeff Price.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Jenn and Trin in the morning.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Jenny awkwardly trying to seduce Nathan Fillion.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Karlee Esmailli.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Liking Katy Perry… in secret.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Low hugs.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
MAGFEST.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Making a sim family that's exactly the same as my real family.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Marcia Morgan's magnificent breasts.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Marinated anal juices.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Master Chief.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Max Temkin.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Max the Keyboard Cat.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
"Mowing the lawn, collecting the clippings, then Dickbutt.",PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
"Neckbeard, the nerdiest pirate.",PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Not being able to shit on a foreign throne.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Paying for sexual favors with Dogecoin.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Peen rub.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Pete's glorious penis.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Pinkie Pie.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Placing second placein a dumb T-shirt contest.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Player tears.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Playing whack-a-mole with the ban hammer.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Portland hipsters rockin' the moose knuckle.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Pretending that going to PAX is a job.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Putting on 3D glasses over your regular glasses and getting a wicked headache.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
RAWR velociraptor.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
"Reaching the fabled, distant age of 30.",PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Sarah MendiYOLO.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Scrooge McDuck's scientifically accurate corkscrew phallus.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Selling PAX memorabilia on eBay.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Sharkisha.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Shitting dick nipples.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Stealing your dead clone's shit.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Stop! Name that lolita dress.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Suplexing a jabroni in the PAX Rumble.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
That moment when the Protomen steal your chair.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
"The ""Not a Thing"" podcast.",PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
The best Just Dance player in Turkey.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
"The blood, sweat and tears of a desparate, sleep-deprived cosplayer the night before a convention.",PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
The Doubleclicks.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
The hidden dick in your favorite Disney movie.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
The moment Sharon realized she married Steve.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
The People's Elbow.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
The poison. The poison for Kuzco. The poison chosen especially to kill Kusco. Kusco's poison.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
The race card.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
The redic secondary mark-up of Cards Against Humanity Cards.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
The tears of a million disappointed 49ers fans.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
The token lesbian.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Too much foreskin.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Trung the pants-ripping bear.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Trying to explain David Lynch's oeuvre.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Tumblr opinions.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Unintentionally living the life of every Ellen Page character.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Valtrex Man.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
Witnessing the decline of the rollerblade industry.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
A sobering quantity of chili cheese fries.,PAX Prime 2015 Food Pack A (Mango),CAH Packs/Con Exclusives
Going vegetarian and feeling so great all the time.,PAX Prime 2015 Food Pack A (Mango),CAH Packs/Con Exclusives
Kale farts.,PAX Prime 2015 Food Pack A (Mango),CAH Packs/Con Exclusives
Licking the cake batter off of grandma’s fingers.,PAX Prime 2015 Food Pack A (Mango),CAH Packs/Con Exclusives
Real cheese flavor.,PAX Prime 2015 Food Pack A (Mango),CAH Packs/Con Exclusives
Swishing the wine around and sniffing it like a big fancy man.,PAX Prime 2015 Food Pack A (Mango),CAH Packs/Con Exclusives
The Dial-A-Slice Apple Divider from Williams-Sonoma.,PAX Prime 2015 Food Pack A (Mango),CAH Packs/Con Exclusives
What to do with all of this chocolate on my penis.,PAX Prime 2015 Food Pack A (Mango),CAH Packs/Con Exclusives
A belly full of hard-boiled eggs.,PAX Prime 2015 Food Pack B (Coconut),CAH Packs/Con Exclusives
A joyless vegan patty.,PAX Prime 2015 Food Pack B (Coconut),CAH Packs/Con Exclusives
A table for one at The Cheesecake Factory.,PAX Prime 2015 Food Pack B (Coconut),CAH Packs/Con Exclusives
Being emotionally and physically dominated by Gordon Ramsay.,PAX Prime 2015 Food Pack B (Coconut),CAH Packs/Con Exclusives
Kevin Bacon Bits.,PAX Prime 2015 Food Pack B (Coconut),CAH Packs/Con Exclusives
Not knowing what to believe anymore about butter.,PAX Prime 2015 Food Pack B (Coconut),CAH Packs/Con Exclusives
Soup that's better than pussy.,PAX Prime 2015 Food Pack B (Coconut),CAH Packs/Con Exclusives
Sucking down thousands of pounds of krill every day.,PAX Prime 2015 Food Pack B (Coconut),CAH Packs/Con Exclusives
A Mexican child trapped inside of a burrito.,PAX Prime 2015 Food Pack C (Cherry),CAH Packs/Con Exclusives
Clamping down on a gazelle’s jugular and tasting its warm life waters.,PAX Prime 2015 Food Pack C (Cherry),CAH Packs/Con Exclusives
Committing suicide at the Old Country Buffet.,PAX Prime 2015 Food Pack C (Cherry),CAH Packs/Con Exclusives
Father’s forbidden chocolates.,PAX Prime 2015 Food Pack C (Cherry),CAH Packs/Con Exclusives
Jizz Twinkies.,PAX Prime 2015 Food Pack C (Cherry),CAH Packs/Con Exclusives
The Hellman’s Mayonnaise Corporation.,PAX Prime 2015 Food Pack C (Cherry),CAH Packs/Con Exclusives
The hot dog I put in my vagina ten days ago.,PAX Prime 2015 Food Pack C (Cherry),CAH Packs/Con Exclusives
The inaudible screams of carrots.,PAX Prime 2015 Food Pack C (Cherry),CAH Packs/Con Exclusives
A Christmas stocking full of coleslaw.,2012 Holiday Pack,CAH Packs/Holiday Packs
A Hungry-Man™ Frozen Christmas Dinner for One.,2012 Holiday Pack,CAH Packs/Holiday Packs
A toxic family environment.,2012 Holiday Pack,CAH Packs/Holiday Packs
A visually arresting turtleneck.,2012 Holiday Pack,CAH Packs/Holiday Packs
Another shitty year.,2012 Holiday Pack,CAH Packs/Holiday Packs
Clearing a bloody path through Walmart with a scimitar.,2012 Holiday Pack,CAH Packs/Holiday Packs
Eating an entire snowman.,2012 Holiday Pack,CAH Packs/Holiday Packs
Elf cum.,2012 Holiday Pack,CAH Packs/Holiday Packs
"Fucking up ""Silent Night"" in front of 300 parents.",2012 Holiday Pack,CAH Packs/Holiday Packs
Gift-wrapping a live hamster.,2012 Holiday Pack,CAH Packs/Holiday Packs
Immaculate conception.,2012 Holiday Pack,CAH Packs/Holiday Packs
"Krampus, the Austrian Christmas monster.",2012 Holiday Pack,CAH Packs/Holiday Packs
Mall Santa.,2012 Holiday Pack,CAH Packs/Holiday Packs
My hot cousin.,2012 Holiday Pack,CAH Packs/Holiday Packs
Pretending to be happy.,2012 Holiday Pack,CAH Packs/Holiday Packs
Santa's heavy sack.,2012 Holiday Pack,CAH Packs/Holiday Packs
Several intertwining love stories featuring Hugh Grant.,2012 Holiday Pack,CAH Packs/Holiday Packs
Socks.,2012 Holiday Pack,CAH Packs/Holiday Packs
Space Jam on VHS.,2012 Holiday Pack,CAH Packs/Holiday Packs
Taking down Santa with a surface-to-air missile.,2012 Holiday Pack,CAH Packs/Holiday Packs
The Star Wars Holiday Special.,2012 Holiday Pack,CAH Packs/Holiday Packs
"The tiny, calloused hands of the Chinese children that made this card.",2012 Holiday Pack,CAH Packs/Holiday Packs
Whatever Kwanzaa is supposed to be about.,2012 Holiday Pack,CAH Packs/Holiday Packs
A magical tablet containing a world of unlimited pornography.,2013 Holiday Pack,CAH Packs/Holiday Packs
A simultaneous nightmare and wet dream starring Sigourney Weaver.,2013 Holiday Pack,CAH Packs/Holiday Packs
Being blind and deaf and having no limbs.,2013 Holiday Pack,CAH Packs/Holiday Packs
Breeding elves for their priceless semen.,2013 Holiday Pack,CAH Packs/Holiday Packs
Congress’s flaccid penises withering away beneath their suit pants.,2013 Holiday Pack,CAH Packs/Holiday Packs
Finding out Santa isn’t real.,2013 Holiday Pack,CAH Packs/Holiday Packs
Giving money and personal information to strangers on the Internet.,2013 Holiday Pack,CAH Packs/Holiday Packs
Having a strong opinion about Obamacare.,2013 Holiday Pack,CAH Packs/Holiday Packs
Jizzing into Santa’s beard.,2013 Holiday Pack,CAH Packs/Holiday Packs
Making up for 10 years of shitty parenting with a PlayStation.,2013 Holiday Pack,CAH Packs/Holiday Packs
Moses gargling Jesus’s balls while Shiva and the Buddha penetrate his divine hand holes.,2013 Holiday Pack,CAH Packs/Holiday Packs
People with cake in their mouths talking about how good cake is.,2013 Holiday Pack,CAH Packs/Holiday Packs
Piece of shit Christmas cards with no money in them.,2013 Holiday Pack,CAH Packs/Holiday Packs
Rudolph’s bright red balls.,2013 Holiday Pack,CAH Packs/Holiday Packs
Slicing a ham in icy silence.,2013 Holiday Pack,CAH Packs/Holiday Packs
Swapping bodies with mom for a day.,2013 Holiday Pack,CAH Packs/Holiday Packs
"The Grinch’s musty, cum-stained pelt.",2013 Holiday Pack,CAH Packs/Holiday Packs
The Hawaiian goddess Kapo and her flying detachable vagina.,2013 Holiday Pack,CAH Packs/Holiday Packs
The royal afterbirth.,2013 Holiday Pack,CAH Packs/Holiday Packs
"The shittier, Jewish version of Christmas.",2013 Holiday Pack,CAH Packs/Holiday Packs
"These low, low prices!",2013 Holiday Pack,CAH Packs/Holiday Packs
200 years of slavery.,2014 Holiday Pack,CAH Packs/Holiday Packs
A cloud of ash that darkens the Earth for a thousand years.,2014 Holiday Pack,CAH Packs/Holiday Packs
A protracted siege.,2014 Holiday Pack,CAH Packs/Holiday Packs
A vague fear of something called ISIS.,2014 Holiday Pack,CAH Packs/Holiday Packs
All the poop inside of my body.,2014 Holiday Pack,CAH Packs/Holiday Packs
Being replaced by a robot.,2014 Holiday Pack,CAH Packs/Holiday Packs
Blockbuster late fees up the wazoo.,2014 Holiday Pack,CAH Packs/Holiday Packs
Building a ladder of hot dogs to the moon.,2014 Holiday Pack,CAH Packs/Holiday Packs
Ebola.,2014 Holiday Pack,CAH Packs/Holiday Packs
"Harnessing the miraculous power of the atom to slaughter 200,000 Japanese people.",2014 Holiday Pack,CAH Packs/Holiday Packs
Reading an entire book.,2014 Holiday Pack,CAH Packs/Holiday Packs
Rising sea levels consistent with scientific predictions.,2014 Holiday Pack,CAH Packs/Holiday Packs
Rock music and premarital sex.,2014 Holiday Pack,CAH Packs/Holiday Packs
Small-town cops with M-4 assault rifles.,2014 Holiday Pack,CAH Packs/Holiday Packs
"The 9,000 children who starved to death today.",2014 Holiday Pack,CAH Packs/Holiday Packs
The Bowflex Revolution.,2014 Holiday Pack,CAH Packs/Holiday Packs
The diminishing purity of the white race.,2014 Holiday Pack,CAH Packs/Holiday Packs
The dying breath of the last human.,2014 Holiday Pack,CAH Packs/Holiday Packs
The events depicted in James Cameron's Avatar.,2014 Holiday Pack,CAH Packs/Holiday Packs
The Great Lizard Uprising of 2352.,2014 Holiday Pack,CAH Packs/Holiday Packs
The transience of all things.,2014 Holiday Pack,CAH Packs/Holiday Packs
This groovy new thing called LSD.,2014 Holiday Pack,CAH Packs/Holiday Packs
"Trying to feel something, anything.",2014 Holiday Pack,CAH Packs/Holiday Packs
What remains of my penis.,2014 Holiday Pack,CAH Packs/Holiday Packs
A big brain full of facts and sadness.,Jew Pack/Chosen People Pack,CAH Packs/Holiday Packs
A headache that's definitely cancer.,Jew Pack/Chosen People Pack,CAH Packs/Holiday Packs
A lifetime of internalized guilt.,Jew Pack/Chosen People Pack,CAH Packs/Holiday Packs
A little bit of schmutz right there.,Jew Pack/Chosen People Pack,CAH Packs/Holiday Packs
A three-foot-tall corned beef sandwich.,Jew Pack/Chosen People Pack,CAH Packs/Holiday Packs
Bags of money.,Jew Pack/Chosen People Pack,CAH Packs/Holiday Packs
Being chosen by God to win a free iPod Nano.,Jew Pack/Chosen People Pack,CAH Packs/Holiday Packs
Chopping off a bit of the penis.,Jew Pack/Chosen People Pack,CAH Packs/Holiday Packs
Demolishing that ass like a Palestinian village.,Jew Pack/Chosen People Pack,CAH Packs/Holiday Packs
Hiding from the Nazis.,Jew Pack/Chosen People Pack,CAH Packs/Holiday Packs
Holding up the line at Walgreens by trying to use an expired coupon.,Jew Pack/Chosen People Pack,CAH Packs/Holiday Packs
Pork products.,Jew Pack/Chosen People Pack,CAH Packs/Holiday Packs
Resurrecting an army of six million Jews and conquering Germany.,Jew Pack/Chosen People Pack,CAH Packs/Holiday Packs
Sacrificing Isaac to the Lord.,Jew Pack/Chosen People Pack,CAH Packs/Holiday Packs
Some kind of concentrated encampment for people.,Jew Pack/Chosen People Pack,CAH Packs/Holiday Packs
Suddenly remembering that the Holocaust happened.,Jew Pack/Chosen People Pack,CAH Packs/Holiday Packs
The blood of Christian babies.,Jew Pack/Chosen People Pack,CAH Packs/Holiday Packs
The ethical implications of enjoying a Woody Allen film in light of the allegations against him.,Jew Pack/Chosen People Pack,CAH Packs/Holiday Packs
The part of Anne Frank's diary where she talks about her vagina.,Jew Pack/Chosen People Pack,CAH Packs/Holiday Packs
Thy neighbor's wife.,Jew Pack/Chosen People Pack,CAH Packs/Holiday Packs
Torturing Jews until they say they're not Jews anymore.,Jew Pack/Chosen People Pack,CAH Packs/Holiday Packs
Usury.,Jew Pack/Chosen People Pack,CAH Packs/Holiday Packs
Wandering the desert for 40 years.,Jew Pack/Chosen People Pack,CAH Packs/Holiday Packs
What it means to be a Jewish woman in contemporary society.,Jew Pack/Chosen People Pack,CAH Packs/Holiday Packs
Whoopi Goldberg.,Jew Pack/Chosen People Pack,CAH Packs/Holiday Packs
A choir of angels descending from the sky and jizzing all over dad's sweater.,Seasons Greetings Pack,CAH Packs/Holiday Packs
A frozen homeless man shattering on your doorstep.,Seasons Greetings Pack,CAH Packs/Holiday Packs
A toxic family environment.,Seasons Greetings Pack,CAH Packs/Holiday Packs
Another shitty year.,Seasons Greetings Pack,CAH Packs/Holiday Packs
Elf cum.,Seasons Greetings Pack,CAH Packs/Holiday Packs
Finding out that Santa isn't real.,Seasons Greetings Pack,CAH Packs/Holiday Packs
"Fucking up Silent Night in front of 3,000 parents.",Seasons Greetings Pack,CAH Packs/Holiday Packs
Gift wrapping a live hamster.,Seasons Greetings Pack,CAH Packs/Holiday Packs
How cool it is that I love jesus and he loves me back.,Seasons Greetings Pack,CAH Packs/Holiday Packs
How great of a blowjob Jesus could give.,Seasons Greetings Pack,CAH Packs/Holiday Packs
How many drinks and Deborah has had.,Seasons Greetings Pack,CAH Packs/Holiday Packs
Is snowman that contains the soul of my dead father.,Seasons Greetings Pack,CAH Packs/Holiday Packs
My hot cousin.,Seasons Greetings Pack,CAH Packs/Holiday Packs
My uncle who voted for Trump.,Seasons Greetings Pack,CAH Packs/Holiday Packs
Piece of shit Christmas card with no money in them.,Seasons Greetings Pack,CAH Packs/Holiday Packs
Pretending to be happy.,Seasons Greetings Pack,CAH Packs/Holiday Packs
"Probably grandma's last Christmas, kids.",Seasons Greetings Pack,CAH Packs/Holiday Packs
Snow falling gently on the frozen body of an orphan boy.,Seasons Greetings Pack,CAH Packs/Holiday Packs
Socks.,Seasons Greetings Pack,CAH Packs/Holiday Packs
Starting to see where ISIS is coming from.,Seasons Greetings Pack,CAH Packs/Holiday Packs
"The 9,000 children who starred to death today.",Seasons Greetings Pack,CAH Packs/Holiday Packs
"The shittier, Jewish version of Christmas.",Seasons Greetings Pack,CAH Packs/Holiday Packs
"These low, low prices!",Seasons Greetings Pack,CAH Packs/Holiday Packs
"A killer’s diet of bush, cucumbers, and feathers.",CAH: A.I. Pack,CAH Packs/Limited Release
A woman who is so smart that she can predict the movements of 300 birds.,CAH: A.I. Pack,CAH Packs/Limited Release
Finding a nipple and being like “Oooh! That’s a nipple!”,CAH: A.I. Pack,CAH Packs/Limited Release
Getting Masturbated to.,CAH: A.I. Pack,CAH Packs/Limited Release
Giving grandma crappy things she doesn’t like.,CAH: A.I. Pack,CAH Packs/Limited Release
Ham finger.,CAH: A.I. Pack,CAH Packs/Limited Release
Hands down the best eggnog I have ever had.,CAH: A.I. Pack,CAH Packs/Limited Release
Insane empanadas.,CAH: A.I. Pack,CAH Packs/Limited Release
"Kim Kardashian, but with spider legs.",CAH: A.I. Pack,CAH Packs/Limited Release
Laughing hysterically while my partner pours coffee into my eyes.,CAH: A.I. Pack,CAH Packs/Limited Release
More olives than you could possibly understand.,CAH: A.I. Pack,CAH Packs/Limited Release
Mr. Poop.,CAH: A.I. Pack,CAH Packs/Limited Release
My disgusting pot-bellied boy.,CAH: A.I. Pack,CAH Packs/Limited Release
P.F. Chang’s fusion of casual and formal cuisine.,CAH: A.I. Pack,CAH Packs/Limited Release
Screaming “there’s a hawk up my ass!”,CAH: A.I. Pack,CAH Packs/Limited Release
Secret CIA moon prisons.,CAH: A.I. Pack,CAH Packs/Limited Release
"Sitting in the back of the plane, smoking a cigar and reading the Flickr privacy policy.",CAH: A.I. Pack,CAH Packs/Limited Release
Some kind of mutated shrimp that can suck dick like a pro.,CAH: A.I. Pack,CAH Packs/Limited Release
Some sort of unstoppable poo gun.,CAH: A.I. Pack,CAH Packs/Limited Release
Stairs,CAH: A.I. Pack,CAH Packs/Limited Release
That shitty season of Mad Men where Sterling Cooper Draper Pryce gets destroyed by Daenerys Targaryen’s dragons.,CAH: A.I. Pack,CAH Packs/Limited Release
The amount of emotions a peanut would be capable of holding.,CAH: A.I. Pack,CAH Packs/Limited Release
The idea of a walrus.,CAH: A.I. Pack,CAH Packs/Limited Release
The lesbians of Iowa.,CAH: A.I. Pack,CAH Packs/Limited Release
The real story behind the yogurt that came out of Tina’s vagina.,CAH: A.I. Pack,CAH Packs/Limited Release
The unspeakable secrets of the weasels.,CAH: A.I. Pack,CAH Packs/Limited Release
These amazing testicles I’m about to share with you.,CAH: A.I. Pack,CAH Packs/Limited Release
These awesome gadgets that track my every move.,CAH: A.I. Pack,CAH Packs/Limited Release
These new jeans that look so cool but are actually so bad.,CAH: A.I. Pack,CAH Packs/Limited Release
What I Doin’.,CAH: A.I. Pack,CAH Packs/Limited Release
A pointless job at a soulless corporation.,CAH: Human Pack,CAH Packs/Limited Release
Being terrified of a single bee.,CAH: Human Pack,CAH Packs/Limited Release
Being young and in love in New York City.,CAH: Human Pack,CAH Packs/Limited Release
Chemotherapy.,CAH: Human Pack,CAH Packs/Limited Release
Delighting in the pain of others.,CAH: Human Pack,CAH Packs/Limited Release
Forming a monogamous pairbond.,CAH: Human Pack,CAH Packs/Limited Release
Getting my butt trapped hilariously in a tuba.,CAH: Human Pack,CAH Packs/Limited Release
Getting sad for no reason.,CAH: Human Pack,CAH Packs/Limited Release
Good ol’ fashioned face-to-face conversation.,CAH: Human Pack,CAH Packs/Limited Release
Harnessing the power of steam!!!,CAH: Human Pack,CAH Packs/Limited Release
How good this cantaloupe feels on my penis.,CAH: Human Pack,CAH Packs/Limited Release
"Just hangin’ out, ya know?",CAH: Human Pack,CAH Packs/Limited Release
Like 50 mosquito bites.,CAH: Human Pack,CAH Packs/Limited Release
Losing a loved one to Fox News.,CAH: Human Pack,CAH Packs/Limited Release
Really tall people.,CAH: Human Pack,CAH Packs/Limited Release
Saying “what’s that?” And then stealing a french fry.,CAH: Human Pack,CAH Packs/Limited Release
Sucking all the oil out of the planet and fucking off to Mars.,CAH: Human Pack,CAH Packs/Limited Release
The bomb strapped to my chest.,CAH: Human Pack,CAH Packs/Limited Release
The joy of song.,CAH: Human Pack,CAH Packs/Limited Release
The salmon.,CAH: Human Pack,CAH Packs/Limited Release
The unspeakable horrors of factory farming.,CAH: Human Pack,CAH Packs/Limited Release
The whole Jeffrey Epstein thing.,CAH: Human Pack,CAH Packs/Limited Release
This horrible thing called twitter.,CAH: Human Pack,CAH Packs/Limited Release
Three hours of pimple-popping videos.,CAH: Human Pack,CAH Packs/Limited Release
Unwelcome sexual attention from grown men.,CAH: Human Pack,CAH Packs/Limited Release
Using words to communicate.,CAH: Human Pack,CAH Packs/Limited Release
War with China.,CAH: Human Pack,CAH Packs/Limited Release
Watching the life drain from the eyes of my son’s killer.,CAH: Human Pack,CAH Packs/Limited Release
"A $1,000 check from Cards Against Humanity!",Cards Against Humanity Saves America Pack,CAH Packs/Limited Release Packs
A baby panda that just can't keep its eyes open.,Cards Against Humanity Saves America Pack,CAH Packs/Limited Release Packs
"A full refund from Cards Against Humanity, paid for by people richer than me.",Cards Against Humanity Saves America Pack,CAH Packs/Limited Release Packs
A gay Republican somehow.,Cards Against Humanity Saves America Pack,CAH Packs/Limited Release Packs
A laundry basket full of baby bunnies.,Cards Against Humanity Saves America Pack,CAH Packs/Limited Release Packs
A really good dog.,Cards Against Humanity Saves America Pack,CAH Packs/Limited Release Packs
A stack of puppies in a trench coat.,Cards Against Humanity Saves America Pack,CAH Packs/Limited Release Packs
