prompt,special,set,sheet
What's the one thing that makes an elf instantly ejaculate?,,Seasons Greetings Pack,CAH Packs/Holiday Packs
"Do not go gentle into that good night. Rage, rage against ______?",,CAH: Human Pack,CAH Packs/Limited Release
"Sure, sex is great, but have you tried _______?",,CAH: Human Pack,CAH Packs/Limited Release
"""They’re bringing drugs. They’re bringing crime. They’re rapists. And some, I assume, are _____.""",,Cards Against Humanity Saves America Pack,CAH Packs/Limited Release Packs
Cry havoc and let slip ______!,,Cards Against Humanity Saves America Pack,CAH Packs/Limited Release Packs
"Now is the winter of our discontent, made glorious summer by ______.",,Cards Against Humanity Saves America Pack,CAH Packs/Limited Release Packs
"The fault, dear Brutus, is not in our stars, but in ______.",,Cards Against Humanity Saves America Pack,CAH Packs/Limited Release Packs
"We want a pitcher, not ______!",,Cards Against Humanity Saves America Pack,CAH Packs/Limited Release Packs
"When asked about the biggest threat facing the nation, 60% of Americans said ______.",,Cards Against Humanity Saves America Pack,CAH Packs/Limited Release Packs
"You see, son, baseball is like ______. Don't overthink it.",,Cards Against Humanity Saves America Pack,CAH Packs/Limited Release Packs
"Coming up on Turner Classic Movies:
Sean Connery and Alec Baldwin star in ""The Hunt for ______.""",,Dad Pack,CAH Packs/Limited Release Packs
"FW: re:
FBI WARNING!!! VIOLENT GANGS USING ______ TO RECRUIT CHILDREN!",,Dad Pack,CAH Packs/Limited Release Packs
"Hey, kids.
I'm Connor's dad, but you can call me Mr. ______.",,Dad Pack,CAH Packs/Limited Release Packs
"So apparently Dad was searching Pornhub for ""hot milf ______.""",,Dad Pack,CAH Packs/Limited Release Packs
"Whaddya think, money grows on trees? I'm not paying for ______!",,Dad Pack,CAH Packs/Limited Release Packs
"Young lady, you better knock it off with ______ or you're grounded!",,Dad Pack,CAH Packs/Limited Release Packs
Desert Bus: ___ for the children.,,Desert Bus For Hope Pack,CAH Packs/Limited Release Packs
I bless ___ down in Africa.,,Desert Bus For Hope Pack,CAH Packs/Limited Release Packs
"Ken ""____"" Steacy went back into his archives and found his original sketches for ______.",PICK 2,Desert Bus For Hope Pack,CAH Packs/Limited Release Packs
"The four shifts at Desert Bus: Dawn Guard, Alpha Flight, Night Watch and ____.",,Desert Bus For Hope Pack,CAH Packs/Limited Release Packs
YOU try explaining ___ to the media!,,Desert Bus For Hope Pack,CAH Packs/Limited Release Packs
"Before swallowing his pride and a cyanide pill, Adolf whispered to Eva, ""Sorry about ______"".",,Fascism Pack,CAH Packs/Limited Release Packs
Leni Riefenstahl's last movie was called Triumph of ______.,,Fascism Pack,CAH Packs/Limited Release Packs
"A wise man said, ""Everything is about sex. Except sex. Sex is about ______.""",,House of Cards Pack,CAH Packs/Limited Release Packs
"Because you enjoyed ______, we thought you'd like ______.",Pick 2,House of Cards Pack,CAH Packs/Limited Release Packs
Cancel all my meetings. We've got a situation with ______ that requires my immediate attention.,,House of Cards Pack,CAH Packs/Limited Release Packs
"Corruption. Betrayal. ______. Coming soon to Netflix, ""House of ______.""",Pick 2,House of Cards Pack,CAH Packs/Limited Release Packs
I can't believe Netflix is using ______ to promote House of Cards.,,House of Cards Pack,CAH Packs/Limited Release Packs
"I'm not going to lie. I despise ______. There, I said it.",,House of Cards Pack,CAH Packs/Limited Release Packs
"If you need him to, Remy Danton can pull some strings and get you ______, but it'll cost you.",,House of Cards Pack,CAH Packs/Limited Release Packs
Our relationship is strictly professional. Let's not complicate things with ______.,,House of Cards Pack,CAH Packs/Limited Release Packs
"We're not like other news organizations. Here at Slugline, we welcome ______ in the office.",,House of Cards Pack,CAH Packs/Limited Release Packs
"Coming this spring from BioWare, Mass Effect: ______.",,Mass Effect Pack,CAH Packs/Limited Release Packs
"I'm Commander Shepard, and this is my favorite place for ______ on the Citadel.",,Mass Effect Pack,CAH Packs/Limited Release Packs
It turns out the Reapers didn't want to destroy the galaxy. They just wanted ______.,,Mass Effect Pack,CAH Packs/Limited Release Packs
"We were the two best hand-to-hand combatants on the ship. I had reach, but she had ______.",,Mass Effect Pack,CAH Packs/Limited Release Packs
"Excuse me, straight man, but ______ isn't for you, STRAIGHT MAN.",,Pride Pack,CAH Packs/Limited Release Packs
GOD HATES ______!,,Pride Pack,CAH Packs/Limited Release Packs
"If you can't love yourself, how the hell you gonna love ______?",,Pride Pack,CAH Packs/Limited Release Packs
We're here! We're ______! Get used to it!,,Pride Pack,CAH Packs/Limited Release Packs
YAAAAAAS! You are serving me ______ realness!,,Pride Pack,CAH Packs/Limited Release Packs
"From WBEZ Chicago, it's This American Life. Today on our program, ______. Stay with us.",,Reject Pack,CAH Packs/Limited Release Packs
My name is Inigo Montoya. You killed my father. Prepare for ______.,,Reject Pack,CAH Packs/Limited Release Packs
"Sir, we found you passed out naked on the side of the road. What's the last thing you remember?",,Reject Pack,CAH Packs/Limited Release Packs
The elders of the Ibo tribe of Nigeria recommend ______ as a cure for impotence.,,Reject Pack,CAH Packs/Limited Release Packs
The Westboro Baptist Church is now picketing soldiers' funerals with signs that read 'GOD HATES ______!',,Reject Pack,CAH Packs/Limited Release Packs
What are two cards in your hand that you want to get rid of?,PICK 2,Reject Pack,CAH Packs/Limited Release Packs
What do you see? [An image of a Rorschach inkblot],,Reject Pack,CAH Packs/Limited Release Packs
You can't wait forever. It's time to talk to your doctor about ______.,,Reject Pack,CAH Packs/Limited Release Packs
America is hungry. America needs ______.,,Reject Pack 2,CAH Packs/Limited Release Packs
"Astronomers have discovered that the universe consists of 5% ordinary matter, 25% dark matter, and 70% ______.",,Reject Pack 2,CAH Packs/Limited Release Packs
BowWOW! is the first pet hotel in LA that offers ______ for dogs.,,Reject Pack 2,CAH Packs/Limited Release Packs
"Hey, whatever happened to Renee Zellweger?",,Reject Pack 2,CAH Packs/Limited Release Packs
Housekeeping! You want ______?,,Reject Pack 2,CAH Packs/Limited Release Packs
"In bourgeois society, capital is independent and has individuality, while the living person is ______.",,Reject Pack 2,CAH Packs/Limited Release Packs
"Some men aren't looking for anything logical, like money. They can't be bought, bullied, reasoned or negotiated with. Some men just want ______.",,Reject Pack 2,CAH Packs/Limited Release Packs
What's wrong with these gorillas?,,Reject Pack 2,CAH Packs/Limited Release Packs
Why did the chicken cross the road?,,Reject Pack 2,CAH Packs/Limited Release Packs
"You say tomato, I say ______.",,Reject Pack 2,CAH Packs/Limited Release Packs
"Wait, I came here to buy socks. How did I wind up with ______?",,Retail Product Pack,CAH Packs/Limited Release Packs
"Backers who supported Tabletop at the $25,000 level were astonished to receive ______ from Wil Wheaton himself.",,TableTop Pack,CAH Packs/Limited Release Packs
"For my turn, I will spend four gold and allocate all three workers to ______.",,TableTop Pack,CAH Packs/Limited Release Packs
"Hey, you guys want to try this awesome new game? It’s called ______.",,TableTop Pack,CAH Packs/Limited Release Packs
"Alright everybody, HOLD!
Kelly, why is there ______ on my stage?",,Theatre Pack,CAH Packs/Limited Release Packs
Comedy = Tragedy + ______.,,Theatre Pack,CAH Packs/Limited Release Packs
"Let's take it from the top, and remember, you are ______. Show me  _(SAME CARD AGAIN)_.",,Theatre Pack,CAH Packs/Limited Release Packs
"Match-maker,
match-maker,
make me a match.
Find me ______.",,Theatre Pack,CAH Packs/Limited Release Packs
"This season at Manhattan Theatre Club: ""Who's afraid of ______?""",,Theatre Pack,CAH Packs/Limited Release Packs
_____! All alone in the moonlight!,,Theatre Pack - CATS Musical Pack,CAH Packs/Limited Release Packs
Ahhh _____! Toodle pip!,,Theatre Pack - CATS Musical Pack,CAH Packs/Limited Release Packs
"Jellicle Cats come out tonight, Jellicle Cats come one, come all, the time for _____ is now, Jellicles come to the Jellicle Ball.",,Theatre Pack - CATS Musical Pack,CAH Packs/Limited Release Packs
Donald Trump has nominated ______ for his VP.,,Trump Bug Out Bag/Post-Trump Pack,CAH Packs/Limited Release Packs
Donald Trump's first act as presidnet was to outlaw ______.,,Trump Bug Out Bag/Post-Trump Pack,CAH Packs/Limited Release Packs
"In 2019, Donald Trump eliminated our national parks to make room for ______.",,Trump Bug Out Bag/Post-Trump Pack,CAH Packs/Limited Release Packs
"As repartations for slavery, all African Americans will receive ______.",,Vote For Hillary Pack,CAH Packs/Limited Release Packs
"Senator, I trust you enjoyed ______ last night.  Now, can I count on your vote?",,Vote For Hillary Pack,CAH Packs/Limited Release Packs
"When you go to the polls on Tuesday, remember:  a vote for me is a vote for ______.",,Vote For Hillary Pack,CAH Packs/Limited Release Packs
"According to Arizona's stand-your-ground law, you're allowed to shoot someone if they're ______.",,Vote For Trump Pack,CAH Packs/Limited Release Packs
It's 3AM.  The red phone rings.  It's ______.  Who do you want answering?,,Vote For Trump Pack,CAH Packs/Limited Release Packs
Trump's great!  Trump's got ______.  I love that.,,Vote For Trump Pack,CAH Packs/Limited Release Packs
